	0		1		2		3		4		5		6		7		8		9		10		11		12		13		
0	1		162		165		16		3		24		29		68		47		38		57		64		49		40		
1	164		17		2		23		166		15		46		37		28		67		48		39		56		65		
2	161		168		163		14		25		4		69		30		45		58		63		66		41		50		
3	18		9		6		167		22		13		36		27		34		31		72		53		60		55		
4	7		160		11		20		5		26		33		70		73		44		59		62		51		42		
5	10		19		8		159		12		21		74		35		32		71		52		43		54		61		
6	135		128		131		150		137		158		105		96		75		114		85		92		77		116		
7	130		151		136		157		132		149		122		113		104		95		76		115		84		93		
8	127		134		129		148		123		138		97		106		121		86		91		94		117		78		
9	152		143		140		133		156		147		112		103		110		107		100		81		88		83		
10	141		126		145		154		139		124		109		98		101		120		87		90		79		118		
11	144		153		142		125		146		155		102		111		108		99		80		119		82		89		
